link,title,source_category,description_cleaned
https://jobs.dou.ua/companies/simplexoft/vacancies/343088/,Job Position: Senior Frontend / Full Stack Engineer,Python,"Agentpunkt Всі вакансії компанії Agentpunkt is the bridge between human intent and AI execution. We provide a platform where anyone can hire specialized AI agents to get work done. To achieve this, we have assembled a professional team of world-class developers across the globe. We operate with a “follow-the-sun” engineering culture. Всі вакансії / Python / Лондон 1 лютого 2026 Job Position: Senior Frontend / Full Stack Engineer Лондон (Велика Британія), віддалено We are building the App Store for the Autonomous Economy. Agentpunkt.com is a marketplace for AI Agents—digital workers capable of planning, reasoning, and executing complex tasks. This is not a standard CRUD application. We are building a “Mission Control” interface where users interact with, monitor, and deploy autonomous intelligence. The complexity of our frontend rivals that of IDEs or data visualization platforms. The Opportunity: Fullstack Frontend and Backend Engineering at the Edge of AI We are looking for a Frontend-Heavy Full Stack Engineer. While our backend is Python (the standard for AI), the “face” of our intelligence is React. You will be responsible for translating complex, non-deterministic AI behaviors into a deterministic, smooth, and intuitive UI. You will bridge the gap between raw LLM outputs and human understanding. You will upskill yourself in: Streaming UI Architectures: Handling real-time token streaming and “thought process” visualization from agents. Agentic UI Patterns: Moving beyond “chatbots” to build interfaces for agent supervision, tool approval flows, and multi-agent collaboration graphs. Generative UI: Building components that can adapt dynamically based on the agent's needs. The Stack & Engineering Standards We operate on a modern, strictly typed stack. We value clean abstractions, reusable hooks, and performance. Frontend (Primary Focus): Core: React 18+ (Concurrency features, Suspense) Language: TypeScript (Strict mode, Zod for schema validation) Styling: Tailwind CSS (with clsx/tailwind-merge for component variance) State Management: Zustand or React Query (for server state synchronization) Routing: React Router DOM (v6+) Icons: Lucide React Mobile (Required): Cross-Platform: You will lead the implementation of our mobile strategy (React Native / Expo preferred) to ensure agents are accessible on iOS and Android. Backend : (!) Python: Strong development required Frontend Challenges You Will Solve Visualizing the “Black Box”: Agents don't just give answers; they think. You will build UIs that visualize reasoning steps, plan execution, and memory retrieval in real-time (e.g., collapsible “thought” blocks, confident-score indicators). Latency Hiding: AI can be slow. You will implement optimistic UI updates and skeleton states to make the application feel instant, even when the model is processing. Complex State Machines: An agent might be Idle -> Thinking -> Tool Use -> Awaiting Approval -> Finished. You will manage these states on the client side to prevent UI desync. Mobile Responsiveness: Ensuring complex dashboard data is navigable on a mobile screen. Who You Are A React Specialist: You know how the Virtual DOM works. You understand useMemo, useCallback, and why unnecessary re-renders happen. A Backend Python Specialist Design-System Minded: You don't just copy-paste Tailwind classes; you build composable, accessible components that scale. Mobile-Ready: You have either shipped React Native apps or have a strong desire to master mobile development alongside web. Curious about AI: You might not be an ML engineer, but you are excited to build the controls for the ML engine. Requirements 3+ years deep experience with React & TypeScript. 3+years deep experience with Python Proven ability to build complex layouts with Tailwind CSS. Experience connecting frontends to Python backends. Familiarity with Mobile Development flows (React Native, iOS, or Android). Strong understanding of client-side performance (Lighthouse scores, bundle optimization). What We Offer Remote-First & Async: We trust you to manage your time. Competitive Salary: Top rates for top engineering talent. The “Agentic” Upskill: You will learn how to build the UIs of the future—interfaces that don't just display data, but interact with autonomous entities. How to Apply Send your CV and a link to your GitHub or Portfolio. Highly Recommended: Point us to a specific React component or mobile screen you built that handled complex state or real-time data. Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/jobtestprep/vacancies/339151/,Senior Python Software Engineer,Python,"JobTestPrep Всі вакансії компанії JobTestPrep is a leader in the world of online test preparation solutions, offering an extensive array of practice tests and study guides for a multitude of standardized tests. Our mission is to empower individuals to reach their academic and career aspirations by providing cutting-edge and effective test preparation resources. Всі вакансії / Python / віддалено 22 січня 2026 Senior Python Software Engineer віддалено Company description JobTestPrep, cloud-based fast-growing a leading international E-learning company, is looking for a brilliant Python Backend Developer to join our R&D group. Get a chance to help thousands of job candidates land their dream jobs while working with the brightest minds in the test prep industry. Description and requirements — Design, develop, and maintain backend systems using Python — Collaborate with cross-functional teams to gather requirements, design, and develop features — Write clean, maintainable, and well-documented code — Ensure scalability, reliability, and performance of backend systems — Troubleshoot and debug issues and provide timely resolutions — Participate in project planning and estimation — Continuously learn and improve your skills and knowledge — Stay up-to-date with the latest trends and best practices in backend development — Contribute to the improvement of our development processes and methodologies Requirements: — Bachelor's degree in Computer Science, Software Engineering or related field — Minimum of 4 years of experience in backend development using Python — At least 3 years with AWS cloud computing like: Lambda, Step Function, SNS, SQS, S3, RDS, CloudFormation, CloudFront — Strong understanding of software development principles and best practices — Excellent knowledge with databases, such as SQL or NoSQL like SQL server, MySQL, Postgres SQL, DynamoDB, Redshift, Open Search — Experience with RESTful APIs, JSON, and web services integration — Familiarity with containerization technologies such as Docker or Kubernetes — Experience with Git or other version control systems — Excellent communication and teamwork skills — Strong problem-solving and analytical skills — Ability to learn and work in a fast-paced environment Preferred Qualifications: — Experience with cloud platforms such as AWS — Familiarity with agile development methodologies — Experience with test-driven development (TDD/BDD) and continuous integration/continuous delivery (CI/CD) — Proven production experience in implementing Microservices Architecture and patterns. — Good knowledge in Event Driven Design and Domain Driven Design Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/n-ix/vacancies/258401/,Middle Machine Learning Engineer (#4721),AI/ML,"N-iX Всі вакансії компанії N-iX is a Ukrainian IT company with over 19 years of excellence as a reliable technology partner for global industry leaders and Fortune 500 companies. Всі вакансії / Data Engineer / Київ 6 лютого 2026 Middle Machine Learning Engineer (#4721) Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено We are looking for a Middle Machine Learning Engineer to develop and enhance AI-driven solutions within the Palantir Foundry and AIP ecosystem. In this role, you will focus on building and iterating on machine learning and LLM-based solutions, integrating them into Foundry workflows to support analytics, automation, and decision-making. You will collaborate closely with data engineers, business analysts, and domain experts to deliver practical, production-ready AI solutions. Key Responsibilities: Develop and enhance machine learning and AI models to support predictive analytics, classification, forecasting, and AI-assisted workflows. Build AI and ML solutions within Palantir Foundry, using Python and existing Foundry pipelines, Ontology objects, and workflows. Apply LLMs and NLP techniques (e.g. prompt engineering, fine-tuning, embeddings, retrieval-augmented workflows) using Palantir AIP for enterprise use cases. Collaborate with data engineers to understand data sources, ensure data quality, and prepare datasets for model training and inference. Conduct experiments, evaluate model performance, and iterate on features and model approaches. Integrate AI models into Foundry workflows to surface insights and support business processes. Support model deployment and monitoring by following established team standards and best practices. Work closely with business and domain stakeholders to translate requirements into practical AI-driven solutions. Document model behavior, assumptions, and limitations to support transparency and compliance. Stay up to date with applied AI and GenAI trends and contribute ideas under guidance from senior team members. Requirements: 3+ years of experience in machine learning, AI engineering, or applied data science. Strong Python skills; experience with ML libraries such as scikit-learn, XGBoost, TensorFlow, or PyTorch. Hands-on experience with LLMs, NLP, or GenAI use cases (e.g. prompt design, embeddings, text classification, summarization). Practical understanding of the ML lifecycle: data preparation, feature engineering, model training, evaluation, and iteration. Experience working with structured data (tabular, time series); exposure to text or unstructured data is a plus. Familiarity with enterprise data environments and collaborative development workflows. Ability to clearly explain model results and AI behavior to non-technical stakeholders. Upper-Intermediate English or higher. Nice to have: Proficiency in Foundry Ontology, Object Builders, and Code Repositories. Experience in big pharma or highly regulated industries. Knowledge of data privacy, compliance, and security best practices in AI applications. Familiarity with cloud platforms (AWS, GCP, or Azure) and containerization (Docker, Kubernetes). We offer*: Flexible working format — remote, office-based or flexible A competitive salary and good compensation package Personalized career growth Professional development tools (mentorship program, tech talks and trainings, centers of excellence, and more) Active tech communities with regular knowledge sharing Education reimbursement Memorable anniversary presents Corporate events and team buildings Other location-specific benefits *not applicable for freelancers Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/ajax-systems/vacancies/341831/,Dev in Test / Python Developer,Python,"Ajax Systems Всі вакансії компанії Ajax Systems — міжнародна технологічна компанія і найбільший у Європі виробник охоронних систем. Продуктам Ajax довіряють уже понад 4,5 мільйони кінцевих користувачів і 330 тисяч PRO-користувачів у більш ніж 180 країнах. Компанія пропонує комплексні рішення для захисту житлових і комерційних об'єктів різного масштабу. Всі вакансії / Python / Київ 22 січня 2026 Dev in Test / Python Developer Київ Ajax Systems — міжнародна технологічна компанія і найбільший у Європі виробник охоронних систем. Вони мають підвищені вимоги до надійності та стабільності роботи. Саме тому QA Department в Ajax Systems супроводжує продукт як на етапі розроблення, так і в процесі виробництва й подальшого розвитку. Вони виявляють баги у залізі, софті або взаємодіях систем. Це не просто команда «клікерів», це творчі інженери. Вони перевіряють нові пристрої в різних екстремальних умовах: імітують рухи людей і тварин, відтворюють складні погодні умови, перепади температур, влаштовують контрольовані пожежі та затоплення. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), відеоспостереження, датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожну кнопку з функцією керування приладами, пристрої автоматизації. Ajax Systems має багато пропрієтарних технологій: радіопротоколи Jeweller і Wings,протокол дротового зв'язку Fibra, алгоритми LISA, SmartDetect, HazeFlow 2, технологія JetSparrow, а також володіє 38 патентами на винаходи, дизайн тощо. Наш ідеальний кандидат має: досвід роботи з Python3 від 2 років; знання asyncio; ґрунтовне розуміння OOП, патернів проєктування та кращих практик програмування; досвід роботи з системами контролю версій (Git); базові знання docker та контейнеризованих середовищ; відмінні навички розв'язання задач та аналітичне мислення з високою увагою до деталей. Буде плюсом: розуміння фреймворків для тестування (наприклад, Pytest, Unittest); знання OC Unix/Linux базово; знання multiprocessing та sockets; хороше знання SQL та досвід роботи з реляційними базами даних (наприклад, postgresql, sqlite); досвід роботи з інструментами CI/CD (Jenkins, bitbucket тощо); досвід роботи з хмарними платформами, такими як aws; досвід backend-розробки на Python для web-рішень (sockets, web-протоколи, zmq); знання бінарної серіалізації (messagepack, protobuf тощо); досвід роботи з мікросервісною архітектурою. Які будуть задачі: розробляти та впроваджувати автоматизоване тестування за допомогою Python; підтримувати та покращувати уже реалізовану бази end-to-end автотестів; працювати з інфраструктурою CI на базі Jenkins; шукати та аналізувати невідповідності поведінки системи згідно з технічним завданням. Ми пропонуємо: можливість пропонувати та реалізовувати власні ідеї, які мають вплив на продукт і виробництво; роботу у вмотивованій команді та zero bullshit culture; конкурентну заробітну плату; медичне страхування; корпоративну англійську мову; компенсацію профільного навчання; можливість взяти участь у проєкті бета-тесту систем безпеки Ajax — отримання та тестування нових гаджетів до їх релізу. Ajax Systems — це українська історія успіху, місце неймовірної сили та енергії. Долучайтеся, щоб зробити «Made in Ukraine» синонімом надійності. Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/intent-solutions-group/vacancies/331372/,Software Engineer — Python,Python,"Intent Solutions Group Всі вакансії компанії Intent Solutions Group is focused on providing the product operations, design, development, testing, and continuous delivery services needed within a technology-focused organization in support of rapid innovation and the creation of advanced software products. Всі вакансії / Python / Львів 11 лютого 2026 Software Engineer — Python Львів Intent Solution Group is inviting talented professionals to join our interesting and dynamic team. We are looking for passionate, open-minded, result-oriented Software Engineers with a heart-deep commitment to success. You will have a great chance to grow as a professional in a friendly and supportive team at Intent Solution Group. This is your opportunity to make a difference and work with world class engineering teams, build AI/ML platform that will revolutionize the way in which we buy and consume cellular services. Product technical stack: Data extraction / web crawling platform. Tools & frameworks: Language: Python Frameworks: Scrapy, Playwright, Selenium, BeautifulSoup Infrastructure: AWS (Lambda, S3, EC2), Docker Data storage: PostgreSQL, MongoDB Automation & orchestration: Celery, RabbitMQ, Airflow Version control / CI: GitHub, GitLab CI Requirements 3+ years Python experience with a focus on web scraping Web scraping specific tools such as Chrome Headless, Scrapy, or similar headless browser frameworks Must be a proficient problem solver with proxy rotation, CAPTCHA solving, and anti-bot, and other web scraping counter measures Understanding of HTTP, HTML, JavaScript rendering, and website structures Strong problem-solving mindset and ability to work independently Good communication and teamwork skills Experience working within an agile team leveraging Scrum. Highly desired Experience in large-scale data crawling systems Knowledge of ETL pipelines and data normalization Background in data engineering or backend automation Benefits You will enjoy working in a flexible, Agile, and multinational environment to drive improvements to our customers' solutions, design and develop new cloud services and software solutions. Your skills and experience can be applied to build state of the art software products. You will definitely gain access to continuous learning opportunities and ensure the constant expansion of your skill-sets through working with top global players in technology scene. We provide you a wealth of opportunities to serve as an AWS domain expert and gain deep cross-industry expertise within our expanding customer portfolio. Office in the city centre. Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/quintagroup/vacancies/343077/,Senior Python Developer,Python,"Quintagroup Всі вакансії компанії Quintagroup is a forward-thinking IT outsourcing and software development company that specializes in creating innovative digital solutions tailored to help businesses thrive in today's dynamic landscape. Всі вакансії / Python / Львів 31 січня 2026 Senior Python Developer Львів, за кордоном, віддалено Quintagroup is looking for a Senior Python Developer to join a project for a leading UK-based fintech product. Our client builds innovative financial solutions and actively uses modern technologies to support both businesses and consumers. RESPONSIBILITIES: development with Python (Django) participation in planning and execution stages collaborate closely with an international development team (UK/UA/US) and the CTO to design, implement, and optimize fintech applications. take part in project planning and execution to ensure timely delivery of key milestones. build and integrate cloud-based solutions, primarily on AWS. improve application performance and maintain the security of sensitive financial data. TECH STACK: Python 3.11, Django 4.2, Postgres, AWS (EventBridge, Lambda, ECS, RDS, DynamoDB etc.), Docker, Pandas, Polars, Terraform REQUIREMENTS 6+ years of experience with Python 2.5+ years of experience with Django Python frameworks Experience with AWS Able to work in a team-oriented, collaborative environment Ability to share knowledge Excellent communication skills in English (B2+ level or higher). WE OFFER: Flexible working format: fully remote, hybrid, or office-based. Competitive salary and comprehensive compensation package. Personalized career growth paths and mentorship opportunities. Access to professional development tools, including tech talks and training sessions. Education reimbursement for relevant certifications or courses. Memorable gifts for anniversaries and corporate events. Engaging team-building activities and location-specific perks. HIRING PROCESS: HR interview > Tech interview > Client technical screening call > Offer Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/expoplatform/vacancies/343630/,Senior QA Engineer (AI/LLM testing),AI/ML,"ExpoPlatform Всі вакансії компанії ExpoPlatform is the UK based company founded in 2013, a service provider of more than 30 multinational businesses worldwide (SAAS). Representative offices are located in Italy, Colombia, UAE, India and Ukraine. Всі вакансії / QA / віддалено 4 лютого 2026 Senior QA Engineer (AI/LLM testing) віддалено до $3000 Senior QA Engineer (AI/LLM) Full-time / Remote About Us ExpoPlatform is a UK-based company founded in 2013, delivering advanced technology for online, hybrid, and in-person events across 30+ countries. Our platform provides end-to-end solutions for event organizers, including registration, attendee management, event websites, and networking tools. About the Role We are looking for a Senior QA Engineer to join our Data Science team. In this role, you will take ownership of defining and executing the quality strategy for AI-driven services, ensuring reliability, scalability, and excellent user experience. You will work closely with ML engineers, product managers, and designers to raise the quality bar for our AI solutions. To be successful in this role, you should bring at least two out of the following three strengths: Strong QA skills with a structured and methodical approach to work, Strong English language skills, both written and spoken, Hands-on experience testing AI/ML systems, chatbots, or LLM-based tools. Role Responsibilities Define and drive QA strategy and best practices for the Data Science team Analyze business and technical requirements to ensure testability and completeness Design, implement, and execute functional and non-functional testing (web, mobile, agentic services) Lead testing of API endpoints, data pipelines, and integrations within DS-managed services Validate frontend and backend processes in interactions with DS components Assess LLM behavior: validate prompts, agent workflows, conversation logic, and detect inconsistencies, hallucinations, or undesired outputs Collaborate with cross-functional stakeholders to improve AI reliability, fairness, and user satisfaction Conduct and guide performance, scalability, and latency testing for AI model inference and responses Oversee regression and release testing, ensuring high-quality production deployments Establish clear defect management, tracking, and reporting processes Contribute to product planning, backlog refinement, and architectural discussions with a QA perspective Stay current on advancements in LLM capabilities, benchmarking practices, and AI quality metrics Required Experience 5+ years of experience in functional and non-functional testing, with at least 2 years in a senior role Experience testing AI/ML systems, chatbots, or LLM-based tools Familiarity with prompt engineering, model evaluation, and validation techniques In-depth understanding of QA methodologies, test strategies, and processes Solid experience with API testing and related tools Familiarity with web technologies (HTML, XML, SQL) and data validation Hands-on experience with QA management and collaboration tools (e.g., Jira, Confluence, TestRail) English (C1) with excellent communication and documentation skills Nice to Have Additional languages: French, German, or Spanish Experience with test automation frameworks (e.g., Pytest, Selenium, Playwright) Programming/scripting skills (Python, JavaScript, or similar) Familiarity with cloud environments (AWS) and CI/CD pipelines What We Offer Career growth with an international team. Competitive salary and financial stability. Flexible working hours (Mon-Fri, 8 hours). Free English courses and a budget for education Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/ooo--rush/vacancies/257318/,Data Engineer,Data+Engineer,"Лінія магазинів EVA Всі вакансії компанії В твоїх руках – можливість отримати досвід в одному з 200 нових проектів EVA! Ставай частиною команди, створюй (або ж веди) новий для себе цікавий продукт, отримуй задоволення від результату!) А команда – підтримає;) Всі вакансії / Data Engineer / Дніпро 2 лютого 2026 Data Engineer Дніпро, віддалено Вітаємо! Відкрито пошук на посаду Data Engineer. Вимоги: Участь у створенні і розвитку інфраструктури управління корпоративними даними Розробка процедур потокового і пакетного завантаження даних з різних типів внутрішніх та зовнішніх джерел Розробка процедур обробки та аналізу даних Розробка процедур підготовки та доставки оброблених даних в інші системи Розробка процедур моніторингу та контролю якості даних Діагностика помилок і участь в їх усуненні Обов'язки: Участь у створенні і розвитку інфраструктури управління корпоративними даними Розробка процедур потокового і пакетного завантаження даних з різних типів внутрішніх та зовнішніх джерел Розробка процедур обробки та аналізу даних Розробка процедур підготовки та доставки оброблених даних в інші системи Розробка процедур моніторингу та контролю якості даних Діагностика помилок і участь в їх усуненні Ми пропонуємо: Офіційне працевлаштування з першого робочого дня (ФОП/трудова) Сучасний, комфортабельний офіс (безкоштовний спортзал, йога), кімната відпочинку або віддалено Пятиденний робочий графік з 09:00 до 18:00 Оплачувана відпустка 24 календарних дні та лікарняні Можливість розвитку та зростання в компанії національного масштабу Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/sigma-software/vacancies/327069/,Machine Learning Engineer,AI/ML,"Sigma Software Всі вакансії компанії Sigma Software входить до топ 100 найкращих IT компаній світу за рейтингом The Global Outsourcing 100. Компанія входить до складу шведської корпорації Sigma Group, яка налічує 3200 осіб по всьому світу. Понад 1000 проектів реалізовано для клієнтів із Західної Європи, США та України. Всі вакансії / AI/ML / Київ 2 лютого 2026 Machine Learning Engineer Київ, Львів, Вінниця, Івано-Франківськ, Луцьк, Моршин, Полтава, Тернопіль, Черкаси, Чернівці, за кордоном, віддалено Ми шукаємо Machine Learning Engineer, який приєднається до нашої команди! Якщо тебе цікавить прикладний ШІ, агентні системи та ти хочеш створювати інтелектуальні інструменти, які співпрацюють з людьми, — будемо раді бачити тебе у команді. Приєднуйся до нас і долучайся до формування майбутніх ШІ-асистентів для робочого середовища. Ми створюємо просунутого ШІ-асистента, який допомагає командам працювати продуктивніше. Поєднуючи семантичний пошук, агентний ШІ та сучасні мовні моделі, система підсилює внутрішні операції за допомогою розумної, контекстно-залежної підтримки та персоналізованої взаємодії. Це не просто чат-бот — це система, яка розуміє, адаптується та співпрацює з людьми. Обовʼязки Розробляти та інтегрувати ML- і NLP-моделі для реалізації інтелектуальних функцій асистента Створювати агентні робочі процеси з використанням LangChain, LangGraph або подібних фреймворків Прототипувати інтерфейси користувача та внутрішні інструменти з використанням Streamlit або Gradio Співпрацювати з командами розробки та продукту для планування та впровадження функцій на основі ML Працювати з Docker для керування середовищами розробки та виконання Використовувати Git для контролю версій та писати чистий, підтримуваний код Виконувати запити до структурованих даних за допомогою SQL Брати участь у деплойменті та підтримці моделей у хмарному середовищі (переважно Azure) Вимоги Сильні навички роботи з Python Досвід роботи з агентними ШІ-фреймворками, такими як LangChain або LangGraph Глибоке розуміння основ machine learning та NLP Практичний досвід роботи з ML-фреймворками (PyTorch, TensorFlow тощо) Знання інструментів прототипування (Streamlit, Gradio) Розуміння найкращих інженерних практик: Git, Docker, базові знання хмарних сервісів, оцінка задач Практичні навички роботи з SQL Володіння англійською мовою на рівні Upper-Intermediate (усно та письмово) Перевагою буде Досвід роботи з іншими агентними або LLM-оркестраційними інструментами Досвід у MLOps або деплойменті моделей Впевнене користування Linux-терміналом __________________________________________________________________________________________________________ We're looking for a Machine Learning Engineer to join our team! If you're excited about applied AI and agentic systems and want to develop intelligent tools that truly collaborate with people, we'd love to have you join our team. Join us and help shape the future of AI-powered workplace assistants. We're building an advanced AI assistant that helps teams work smarter. By combining semantic search, agentic AI, and state-of-the-art language models, the system enhances internal operations through intelligent, context-aware support and personalized interactions. It's not a chatbot — it's a system that understands, adapts to, and collaborates with humans. Responsibilities Develop and integrate ML and NLP models to power intelligent assistant features Build agentic workflows using LangChain, LangGraph, or similar frameworks Prototype user interfaces and internal tools using Streamlit or Gradio Collaborate with the engineering and product teams to plan and deliver ML-driven features Work with Docker to manage development and runtime environments Use Git for version control and write clean, maintainable code Query structured data using SQL Contribute to model deployment and operations in a cloud environment (primarily Azure) Requirements Strong proficiency in Python Experience with agentic AI frameworks such as LangChain or LangGraph Solid understanding of machine learning and NLP fundamentals Hands-on experience with ML frameworks (e.g., PyTorch, TensorFlow) Familiarity with prototyping tools such as Streamlit or Gradio Knowledge of engineering best practices: Git, Docker, cloud basics, and task estimation Practical knowledge of SQL Upper-Intermediate level of English (both written and spoken) Would be a plus Experience with other agentic or LLM orchestration tools Experience with MLOps or model deployment Comfortable working in Linux terminal environments Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
https://jobs.dou.ua/companies/genesis-technology-partners/vacancies/342515/,Platform Analytics Engineer (Solidgate — Fintech),Data+Engineer,"Genesis Всі вакансії компанії Genesis is one of the largest IT companies in Ukraine with more than 1500 people in 5 countries, who create products for 400 million users. We are the most high-loaded company in the country and one of the largest partner of Facebook, Google, Snapchat and Apple in the CEE region. Всі вакансії / Data Engineer / Київ 28 січня 2026 Platform Analytics Engineer (Solidgate — Fintech) Київ, Львів, Варшава (Польща), віддалено Our Mission and Vision At Solidgate, our mission is clear: to empower outstanding entrepreneurs to build exceptional internet companies. We exist to fuel the builders — the ones shaping the digital economy — with the financial infrastructure they deserve. To achieve that, we're on a bold path: to become the #1 payments orchestration platform in the world. We believe strong analytics infrastructure is not just support — it's a core driver of product quality, reliability, and business growth. About the Role Solidgate is a product-driven FinTech company operating in a highly dynamic and regulated environment. Our platform processes millions of transactions daily, where data accuracy, real-time monitoring, and system reliability directly impact revenue and customer trust. As we grow, we are expanding our Platform Analytics function and are looking for a Platform Analytics Engineer to help strengthen our analytics and monitoring infrastructure. Platform Analytics at Solidgate is responsible for the analytical foundation of the platform — systems that monitor data quality, system health, anomalies, and critical business metrics in real time. This function ensures platform stability, supports operational decision-making, and enables teams to scale reliably. This role sits at the intersection of engineering and data science, with a strong focus on platform enablement. The mission is to evolve and support analytics infrastructure, including automations, monitoring systems and AI solutions, while continuously improving shared projects, tools, and guidelines used across the analytics team. This is a hands-on role with ownership over meaningful parts of platform-level analytics systems, with mentorship and shared responsibility across the team. You will work with Python-based data automations and observability systems, including anomaly, metrics, and real-time monitoring, designed to detect data inconsistencies, trend deviations, and operational issues. Explore our technology stack ➡️ here. What You Will Own Short-term responsibilities: Stabilizing and modernizing core monitoring services Expanding and improving monitoring systems Refactoring and restructuring automation projects for recurring tasks Automating data source preparation and processing pipelines Working closely with Amazon Redshift (DWH) Long-term responsibilities: Implementing AI agents to process and classify monitoring notifications as PoCs and gradually in production Contributing to internal initiatives around AI-driven automation and scalable analytics systems Gradually taking ownership of complex platform-level analytics initiatives You Are a Great Fit If You Have 2–3 years of overall experience, including at least 1.5 years of Python in production Strong Python fundamentals: PEP standards, versioning, basic OOP, functional programming Experience with Airflow Strong SQL skills, including window functions and query optimization Experience working with production systems and legacy codebases Responsibility, comfort operating production systems, prioritizing under ambiguity, and strong time-management skills Nice to Have Experience with BI tools Familiarity with NoSQL databases Interest in AI-driven automation English level: Intermediate+ Git-based workflows and code review culture Dependency management and packaging (pip/poetry) CI/CD basics (GitHub Actions / GitLab CI) Why Join Solidgate? Build systems that matter. Your work will directly affect platform stability, business decisions, and customer trust. Real ownership. You'll work with critical infrastructure, not dashboards for dashboards' sake. Modern stack & innovation. Real-time analytics, AI automation, and scalable data systems. Growth without bureaucracy. Fast decisions, strong engineering culture, and room to experiment. The Extras: 30+ days off, unlimited sick leave, free office meals, health coverage, and Apple gear to keep you productive. Courses, conferences, sports and wellness benefits — all designed for ideas, focus, and fun. Tomorrow's fintech needs your mindset. Come build it with us. 🫂 Know top talent? We're always on the lookout. Recommend someone for our role, and if they get hired, there's a bonus waiting for you — simple as that. Facebook Twitter LinkedIn Відгукнутися на вакансію Правила відгуків"
